"fg_kicker_player_name","season","wk","yds_fg","fg_make_prob","play_type","def_pos_team","xPts","Pts","PtsAdded"
"Gabe Brkic",2019,5,34,0.771338672335057,"Field Goal Good","Texas Tech",2.31401601700517,3,0.685983982994829
"Gabe Brkic",2019,5,33,0.786885522472235,"Field Goal Good","Texas Tech",2.3606565674167,3,0.639343432583295
"Brkic",2019,6,32,0.802171025258863,"Field Goal Good","Kansas",2.40651307577659,3,0.593486924223411
"Gabe Brkic",2019,7,19,0.949000388466587,"Field Goal Good","Texas",2.84700116539976,3,0.152998834600239
"Gabe Brkic",2019,7,34,0.771338672335057,"Field Goal Good","Texas",2.31401601700517,3,0.685983982994829
"Brkic",2019,8,29,0.846304110922688,"Field Goal Good","West Virginia",2.53891233276806,3,0.461087667231936
"Brkic",2019,9,44,0.601806172147826,"Field Goal Good","Kansas State",1.80541851644348,3,1.19458148355652
"Brkic",2019,9,25,0.897879661726428,"Field Goal Good","Kansas State",2.69363898517928,3,0.306361014820716
"Brkic",2019,9,50,0.484598845866931,"Field Goal Good","Kansas State",1.45379653760079,3,1.54620346239921
"Brkic",2019,9,39,0.689308840183122,"Field Goal Good","Kansas State",2.06792652054937,3,0.932073479450634
"Gabe Brkic",2019,12,39,0.689308840183122,"Field Goal Good","Baylor",2.06792652054937,3,0.932073479450634
"Gabe Brkic",2019,12,31,0.817196105671127,"Field Goal Good","Baylor",2.45158831701338,3,0.548411682986619
"Brkic",2019,14,42,0.63737112952654,"Field Goal Good","Oklahoma State",1.91211338857962,3,1.08788661142038
"Brkic",2019,14,27,0.873530423694007,"Field Goal Good","Oklahoma State",2.62059127108202,3,0.379408728917979
"Gabe Brkic",2019,15,44,0.601806172147826,"Field Goal Good","Baylor",1.80541851644348,3,1.19458148355652
"Gabe Brkic",2019,15,24,0.908714578920598,"Field Goal Good","Baylor",2.72614373676179,3,0.273856263238206
"Brkic",2019,15,24,0.908714578920598,"Field Goal Good","Baylor",2.72614373676179,3,0.273856263238206
"Gabe Brkic",2020,5,18,0.954673259253857,"Field Goal Good","Iowa State",2.86401977776157,3,0.135980222238429
"Brkic",2020,5,54,0.399229874449276,"Field Goal Missed","Iowa State",1.19768962334783,0,-1.19768962334783
"Brkic",2020,5,33,0.786885522472235,"Field Goal Good","Iowa State",2.3606565674167,3,0.639343432583295
"Brkic",2020,5,51,0.463390313952914,"Field Goal Good","Iowa State",1.39017094185874,3,1.60982905814126
"Brkic",2020,6,19,0.949000388466587,"Field Goal Good","Texas",2.84700116539976,3,0.152998834600239
"Brkic",2020,8,40,0.672158198655559,"Field Goal Good","TCU",2.01647459596668,3,0.983525404033323
"Brkic",2020,8,54,0.399229874449276,"Field Goal Missed","TCU",1.19768962334783,0,-1.19768962334783
"Brkic",2020,8,22,0.927502916506649,"Field Goal Good","TCU",2.78250874951995,3,0.217491250480053
"Brkic",2020,8,32,0.802171025258863,"Field Goal Good","TCU",2.40651307577659,3,0.593486924223411
"Brkic",2020,8,30,0.831930173180296,"Field Goal Good","TCU",2.49579051954089,3,0.504209480459112
"Brkic",2020,9,25,0.897879661726428,"Field Goal Good","Texas Tech",2.69363898517928,3,0.306361014820716
"Brkic",2020,9,35,0.755512505868963,"Field Goal Good","Texas Tech",2.26653751760689,3,0.733462482393111
"Brkic",2020,9,43,0.619714572628981,"Field Goal Missed","Texas Tech",1.85914371788694,0,-1.85914371788694
"Gabe Brkic",2020,10,40,0.672158198655559,"Field Goal Good","Kansas",2.01647459596668,3,0.983525404033323
"Gabe Brkic",2020,10,50,0.484598845866931,"Field Goal Good","Kansas",1.45379653760079,3,1.54620346239921
"Brkic",2020,12,40,0.672158198655559,"Field Goal Good","Oklahoma State",2.01647459596668,3,0.983525404033323
"Brkic",2020,12,29,0.846304110922688,"Field Goal Good","Oklahoma State",2.53891233276806,3,0.461087667231936
"Brkic",2020,12,43,0.619714572628981,"Field Goal Missed","Oklahoma State",1.85914371788694,0,-1.85914371788694
"Brkic",2020,14,20,0.942636279565224,"Field Goal Good","Baylor",2.82790883869567,3,0.172091161304328
"Brkic",2020,14,50,0.484598845866931,"Field Goal Good","Baylor",1.45379653760079,3,1.54620346239921
"Brkic",2020,16,36,0.739389182808909,"Field Goal Missed","Iowa State",2.21816754842673,0,-2.21816754842673
"Brkic",2020,16,54,0.399229874449276,"Field Goal Good","Iowa State",1.19768962334783,3,1.80231037665217
"Brkic",2020,16,32,0.802171025258863,"Field Goal Good","Iowa State",2.40651307577659,3,0.593486924223411
"Gabe Brkic",2021,1,26,0.886124175272648,"Field Goal Good","Tulane",2.65837252581794,3,0.341627474182056
"Gabe Brkic",2021,1,51,0.463390313952914,"Field Goal Good","Tulane",1.39017094185874,3,1.60982905814126
"Gabe Brkic",2021,1,56,0.357502808271336,"Field Goal Good","Tulane",1.07250842481401,3,1.92749157518599
"Gabe Brkic",2021,1,55,0.378181426849753,"Field Goal Good","Tulane",1.13454428054926,3,1.86545571945074
"Brkic",2021,1,31,0.817196105671127,"Field Goal Missed","Tulane",2.45158831701338,0,-2.45158831701338
"Brkic",2021,2,56,0.357502808271336,"Field Goal Good","Western Carolina",1.07250842481401,3,1.92749157518599
"Brkic",2021,3,54,0.399229874449276,"Field Goal Missed","Nebraska",1.19768962334783,0,-1.19768962334783
"Brkic",2021,4,28,0.860213325209804,"Field Goal Good","West Virginia",2.58063997562941,3,0.419360024370588
"Brkic",2021,4,35,0.755512505868963,"Field Goal Good","West Virginia",2.26653751760689,3,0.733462482393111
"Brkic",2021,4,30,0.831930173180296,"Field Goal Good","West Virginia",2.49579051954089,3,0.504209480459112
"Brkic",2021,5,40,0.672158198655559,"Field Goal Good","Kansas State",2.01647459596668,3,0.983525404033323
"Brkic",2021,5,27,0.873530423694007,"Field Goal Good","Kansas State",2.62059127108202,3,0.379408728917979
"Brkic",2021,5,47,0.545617805175857,"Field Goal Good","Kansas State",1.63685341552757,3,1.36314658447243
"Brkic",2021,6,40,0.672158198655559,"Field Goal Good","Texas",2.01647459596668,3,0.983525404033323
"Brkic",2021,6,35,0.755512505868963,"Field Goal Good","Texas",2.26653751760689,3,0.733462482393111
"Brkic",2021,6,29,0.846304110922688,"Field Goal Good","Texas",2.53891233276806,3,0.461087667231936
"Brkic",2021,6,26,0.886124175272648,"Field Goal Good","Texas",2.65837252581794,3,0.341627474182056
"Brkic",2021,7,46,0.564850075597405,"Field Goal Missed","TCU",1.69455022679221,0,-1.69455022679221
"Brkic",2021,7,28,0.860213325209804,"Field Goal Good","TCU",2.58063997562941,3,0.419360024370588
