"season","wk","attempts","totalYards","xPts","Pts","PtsAdded","opponent"
2019,5,2,67,4.67467258442188,6,1.32532741557812,"Texas Tech"
2019,6,1,32,2.40651307577659,3,0.593486924223411,"Kansas"
2019,7,2,53,5.16101718240493,6,0.838982817595068,"Texas"
2019,8,1,29,2.53891233276806,3,0.461087667231936,"West Virginia"
2019,9,4,158,8.02078055977292,12,3.97921944022708,"Kansas State"
2019,12,2,70,4.51951483756275,6,1.48048516243725,"Baylor"
2019,14,2,69,4.53270465966164,6,1.46729534033836,"Oklahoma State"
2019,15,3,92,7.25770598996707,9,1.74229401003293,"Baylor"
2020,5,4,156,7.81253691038484,9,1.18746308961515,"Iowa State"
2020,6,1,19,2.84700116539976,3,0.152998834600239,"Texas"
2020,8,5,178,10.8989765641519,12,1.10102343584807,"TCU"
2020,9,3,103,6.81932022067312,6,-0.819320220673116,"Texas Tech"
2020,10,2,90,3.47027113356747,6,2.52972886643253,"Kansas"
2020,12,3,112,6.41453064662168,6,-0.414530646621684,"Oklahoma State"
2020,14,2,70,4.28170537629646,6,1.71829462370354,"Baylor"
2020,16,3,122,5.82237024755114,6,0.177629752448856,"Iowa State"
2021,1,5,219,8.70718449005333,12,3.29281550994667,"Tulane"
2021,2,1,56,1.07250842481401,3,1.92749157518599,"Western Carolina"
2021,3,1,54,1.19768962334783,0,-1.19768962334783,"Nebraska"
2021,4,3,93,7.34296801277719,9,1.65703198722281,"West Virginia"
2021,5,3,114,6.27391928257627,9,2.72608071742373,"Kansas State"
2021,6,4,130,9.48029697215957,12,2.51970302784043,"Texas"
2021,7,2,74,4.27519020242163,3,-1.27519020242163,"TCU"
