"school","EPA"
"Air Force",0.155421413886803
"Akron",0.296032705410464
"Alabama",0.376421810614248
"Appalachian State",0.322821712818645
"Arizona",-0.199924652949288
"Arizona State",0.100276695225593
"Arkansas",0.202167894915881
"Arkansas State",0.334908581728767
"Army",0.265788914984034
"Auburn",0.237816247314248
"Ball State",0.0219979702831398
"Baylor",0.339662017829408
"Boise State",0.130157248592864
"Boston College",0.0329973830748913
"Bowling Green",0.0802062939399709
"Buffalo",0.105126950909062
"BYU",0.152561816163304
"California",0.182278646129631
"Central Michigan",0.185773087430817
"Charlotte",-0.088199113806312
"Cincinnati",0.332799273868033
"Clemson",-0.0698080245048997
"Coastal Carolina",0.34964394351955
"Colorado",0.182892955674179
"Colorado State",-0.0642118383145152
"Connecticut",0.102482153046394
"Duke",0.330447732477209
"East Carolina",0.256141603452552
"Eastern Michigan",0.134469245537721
"Florida",-0.0124283204725031
"Florida Atlantic",0.104322709891171
"Florida International",0.31902068804673
"Florida State",0.175376391180798
"Fresno State",0.0834264663475478
"Georgia",0.177671022307253
"Georgia Southern",0.202829111783194
"Georgia State",0.0648382188782815
"Georgia Tech",0.128374968241986
"Hawai'i",0.149029433415542
"Houston",-0.117277375277381
"Illinois",0.224892205629058
"Indiana",-0.132363032774282
"Iowa",-0.0814769920932464
"Iowa State",0.173398244725529
"Kansas",0.144245815325391
"Kansas State",0.200174410794552
"Kent State",0.280546465528571
"Kentucky",-0.00717586229113009
"Liberty",0.116759574179522
"Louisiana",0.12370361380321
"Louisiana Monroe",0.0514340540635677
"Louisiana Tech",0.0941810877065754
"Louisville",0.224934720681393
"LSU",0.265770005652907
"Marshall",0.100468738858078
"Maryland",0.052236596064432
"Memphis",0.251745770156691
"Miami",-0.0845179898569731
"Miami (OH)",0.191577252275286
"Michigan",0.233179277622602
"Michigan State",0.347501677444258
"Middle Tennessee",0.000636652228652134
"Minnesota",0.0191042736406336
"Mississippi State",0.151489026694723
"Missouri",0.154208605832124
"Navy",-0.00640929474704246
"NC State",0.14699789110825
"Nebraska",0.369400494449258
"Nevada",0.129560437358269
"New Mexico",0.200625752492762
"New Mexico State",0.0721016685950756
"North Carolina",-0.023637428684942
"North Texas",0.129480939905806
"Northern Illinois",0.203582623673835
"Northwestern",0.182702192235068
"Notre Dame",0.138328861736068
"Ohio",0.205069785605203
"Ohio State",0.393211459662253
"Oklahoma",0.159516409166641
"Oklahoma State",0.22802510888689
"Old Dominion",0.10615772405665
"Ole Miss",0.202290451066331
"Oregon",0.1460643593286
"Oregon State",0.1538927266069
"Penn State",0.0167083593711169
"Pittsburgh",0.362931874229491
"Purdue",0.162781334014953
"Rice",0.226657735239292
"Rutgers",0.126636787407159
"San Diego State",0.0395275989507242
"San José State",0.244938409433191
"SMU",0.402064976681625
"South Alabama",0.209025527477912
"South Carolina",-0.0516344956096658
"South Florida",0.225785702054217
"Southern Mississippi",0.00605966244433131
"Stanford",0.253778510353309
"Syracuse",0.18309022128283
"TCU",0.414482094619186
"Temple",0.20214625278361
"Tennessee",0.154161724130247
"Texas",0.153554802777343
"Texas A&M",0.0230462678278839
"Texas State",0.154783388941423
"Texas Tech",0.314808130236769
"Toledo",0.197887376551608
"Troy",-0.0847057726477641
"Tulane",0.119034874943567
"Tulsa",0.0370462333110078
"UAB",0.0706826119424888
"UCF",0.216245839050036
"UCLA",0.259195307203167
"UMass",0.250258520884462
"UNLV",0.08520630588925
"USC",0.0936761198398045
"UT San Antonio",0.0754227721612689
"Utah",0.127179113779316
"Utah State",0.399452866993762
"UTEP",0.21719214781642
"Vanderbilt",0.143144830287953
"Virginia",0.115723671797084
"Virginia Tech",-0.142286722053497
"Wake Forest",0.185836245666348
"Washington",0.0014469543543124
"Washington State",0.0765373743297448
"West Virginia",0.123265845038831
"Western Kentucky",0.336055441252495
"Western Michigan",0.239025958275698
"Wisconsin",-0.0318934974143885
"Wyoming",0.00809274918733651
